Sample_Index,EXG_Channel_0,EXG_Channel_1,EXG_Channel_2,EXG_Channel_3,Accel_Channel_0,Accel_Channel_1,Accel_Channel_2,Timestamp,Timestamp_(Formatted)
30.0,-342.2756439447403,-350.41366624832153,-289.37849897146225,-174.72812592983246,0.1120000053197145,-0.0480000022798776,1.008000047877431,1706389518.7175992, 2024-01-27 16:05:18.717
32.0,-330.24812568724155,-320.73382019996643,-261.6733200997114,-169.46234679222107,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389518.7468188, 2024-01-27 16:05:18.746
34.0,-327.0766905248165,-328.87184250354767,-265.62265445291996,-171.25749877095222,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389518.7615073, 2024-01-27 16:05:18.761
36.0,-321.9305881857872,-339.4632391780615,-280.4027390778065,-172.21491315960884,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389518.7918196, 2024-01-27 16:05:18.791
38.0,-326.238952934742,-345.44707910716534,-291.7720349431038,-166.05155803263187,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389518.8090243, 2024-01-27 16:05:18.809
40.0,-346.7635238915682,-349.81528225541115,-285.30948781967163,-165.27365884184837,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389518.821164, 2024-01-27 16:05:18.821
42.0,-368.3053476363421,-355.85896058380604,-290.8146205544472,-184.6014618128538,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389518.8375623, 2024-01-27 16:05:18.837
44.0,-365.19375087320805,-366.8692260533571,-306.6717963665724,-196.44946487247944,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389518.8671424, 2024-01-27 16:05:18.867
46.0,-349.2767366617918,-362.26166930794716,-306.1930891722441,-186.57612898945808,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389518.8811774, 2024-01-27 16:05:18.881
48.0,-350.9522118419409,-369.2029236257076,-310.68096911907196,-178.3782682865858,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389518.897591, 2024-01-27 16:05:18.897
50.0,-364.9543972760439,-373.15225797891617,-313.01466669142246,-195.3125352859497,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389518.9268568, 2024-01-27 16:05:18.926
52.0,-396.3097185045481,-380.45254269242287,-309.8432315289974,-205.96377035975456,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389518.9577248, 2024-01-27 16:05:18.957
54.0,-385.06009943783283,-382.90591706335545,-313.5532122850418,-209.9131047129631,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389518.9590757, 2024-01-27 16:05:18.959
56.0,-367.9463172405958,-378.9565827101469,-314.98933386802673,-197.82574805617332,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389518.9880176, 2024-01-27 16:05:18.988
58.0,-373.27193477749825,-386.3765442222357,-325.4610537439585,-195.9109192788601,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389519.002541, 2024-01-27 16:05:19.002
60.0,-382.5468866676092,-382.42720986902714,-318.9985066205263,-196.50930327177048,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389519.0174923, 2024-01-27 16:05:19.017
62.0,-389.42830258607864,-374.70805636048317,-311.2195147126913,-202.61281999945643,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389519.0471857, 2024-01-27 16:05:19.047
64.0,-375.5457939505577,-371.8358131945133,-307.1505035609007,-196.56914167106152,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389519.0613005, 2024-01-27 16:05:19.061
66.0,-368.48486283421516,-378.53771391510963,-311.27935311198235,-186.93515938520432,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389519.0776231, 2024-01-27 16:05:19.077
68.0,-359.62877973914146,-372.7333891838789,-310.50145392119884,-174.42893393337727,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389519.1071637, 2024-01-27 16:05:19.107
